Codigo Empresa;Data Ref;Ano;Mes;Dia;Codigo Conta;Descricao Conta;Valor Trimestre Atual;Valor Exercicio Anterior;Precisao
007617;20210930;2021;09;30;2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;0;0;Mil
007617;20210930;2021;09;30;2.02.02.02.02;Adiantamento para Futuro Aumento de Capital;0;0;Mil
007617;20210930;2021;09;30;2.02.02.02.03;Outros Passivos;0;425.000;Mil
007617;20210930;2021;09;30;2.02.02.02.04;Passivos de Arrendamentos;5.000;8.000;Mil
007617;20210930;2021;09;30;2.02.02.02.05;Outros tributos a recolher;0;0;Mil
007617;20210930;2021;09;30;2.02.02.02.06;Fornecedores;0;7.000;Mil
007617;20210930;2021;09;30;2.02.02.02.07;Outros tributos diferidos;39.000;19.000;Mil
007617;20210930;2021;09;30;2.02.03;Tributos Diferidos;0;0;Mil
007617;20210930;2021;09;30;2.02.03.01;Imposto de Renda e Contribuição Social Diferidos;0;0;Mil
007617;20210930;2021;09;30;2.02.04;Provisões;1.375.000;1.349.000;Mil
007617;20210930;2021;09;30;2.02.04.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;1.375.000;1.349.000;Mil
007617;20210930;2021;09;30;2.02.04.01.01;Provisões Fiscais;1.375.000;1.349.000;Mil
007617;20210930;2021;09;30;2.02.04.01.02;Provisões Previdenciárias e Trabalhistas;0;0;Mil
007617;20210930;2021;09;30;2.02.04.01.03;Provisões para Benefícios a Empregados;0;0;Mil
007617;20210930;2021;09;30;2.02.04.01.04;Provisões Cíveis;0;0;Mil
007617;20210930;2021;09;30;2.02.04.02;Outras Provisões;0;0;Mil
007617;20210930;2021;09;30;2.02.04.02.01;Provisões para Garantias;0;0;Mil
007617;20210930;2021;09;30;2.02.04.02.02;Provisões para Reestruturação;0;0;Mil
007617;20210930;2021;09;30;2.02.04.02.03;Provisões para Passivos Ambientais e de Desativação;0;0;Mil
007617;20210930;2021;09;30;2.02.05;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0;0;Mil
007617;20210930;2021;09;30;2.02.05.01;Passivos sobre Ativos Não-Correntes a Venda;0;0;Mil
007617;20210930;2021;09;30;2.02.05.02;Passivos sobre Ativos de Operações Descontinuadas;0;0;Mil
007617;20210930;2021;09;30;2.02.06;Lucros e Receitas a Apropriar;0;0;Mil
007617;20210930;2021;09;30;2.02.06.01;Lucros a Apropriar;0;0;Mil
007617;20210930;2021;09;30;2.02.06.02;Receitas a Apropriar;0;0;Mil
007617;20210930;2021;09;30;2.02.06.03;Subvenções de Investimento a Apropriar;0;0;Mil
007617;20210930;2021;09;30;2.03;Patrimônio Líquido;62.602.000;57.343.000;Mil
007617;20210930;2021;09;30;2.03.01;Capital Social Realizado;43.515.000;43.515.000;Mil
007617;20210930;2021;09;30;2.03.02;Reservas de Capital;412.000;580.000;Mil
007617;20210930;2021;09;30;2.03.02.01;Ágio na Emissão de Ações;4.000;4.000;Mil
007617;20210930;2021;09;30;2.03.02.02;Reserva Especial de Ágio na Incorporação;0;0;Mil
007617;20210930;2021;09;30;2.03.02.03;Alienação de Bônus de Subscrição;0;0;Mil
007617;20210930;2021;09;30;2.03.02.04;Opções Outorgadas;524.000;572.000;Mil
007617;20210930;2021;09;30;2.03.02.05;Ações em Tesouraria;-90.000;0;Mil
007617;20210930;2021;09;30;2.03.02.06;Adiantamento para Futuro Aumento de Capital;0;0;Mil
007617;20210930;2021;09;30;2.03.02.07;Opções por Incentivos Fiscais;2.000;2.000;Mil
007617;20210930;2021;09;30;2.03.02.09;Outras Reservas de Capital;-28.000;2.000;Mil
007617;20210930;2021;09;30;2.03.03;Reservas de Reavaliação;6.000;6.000;Mil
007617;20210930;2021;09;30;2.03.04;Reservas de Lucros;20.608.000;14.545.000;Mil
007617;20210930;2021;09;30;2.03.04.01;Reserva Legal;3.019.000;2.615.000;Mil
007617;20210930;2021;09;30;2.03.04.02;Reserva Estatutária;16.289.000;11.882.000;Mil
007617;20210930;2021;09;30;2.03.04.03;Reserva para Contingências;0;0;Mil
007617;20210930;2021;09;30;2.03.04.04;Reserva de Lucros a Realizar;0;0;Mil
007617;20210930;2021;09;30;2.03.04.05;Reserva de Retenção de Lucros;0;0;Mil
007617;20210930;2021;09;30;2.03.04.06;Reserva Especial para Dividendos Não Distribuídos;0;0;Mil
007617;20210930;2021;09;30;2.03.04.07;Reserva de Incentivos Fiscais;0;0;Mil
007617;20210930;2021;09;30;2.03.04.08;Dividendo Adicional Proposto;1.300.000;48.000;Mil
007617;20210930;2021;09;30;2.03.04.09;Ações em Tesouraria;0;0;Mil
007617;20210930;2021;09;30;2.03.05;Lucros/Prejuízos Acumulados;0;0;Mil
007617;20210930;2021;09;30;2.03.06;Ajustes de Avaliação Patrimonial;0;0;Mil
007617;20210930;2021;09;30;2.03.07;Ajustes Acumulados de Conversão;0;0;Mil
007617;20210930;2021;09;30;2.03.08;Outros Resultados Abrangentes;-1.939.000;-1.303.000;Mil
007617;20230331;2023;03;31;2;Passivo Total;84.517.000;83.254.000;Mil
007617;20230331;2023;03;31;2.01;Passivo Circulante;4.582.000;4.155.000;Mil
007617;20230331;2023;03;31;2.01.01;Obrigações Sociais e Trabalhistas;30.000;54.000;Mil
007617;20230331;2023;03;31;2.01.01.01;Obrigações Sociais;0;0;Mil
007617;20230331;2023;03;31;2.01.01.02;Obrigações Trabalhistas;30.000;54.000;Mil
007617;20230331;2023;03;31;2.01.02;Fornecedores;6.000;6.000;Mil
007617;20230331;2023;03;31;2.01.02.01;Fornecedores Nacionais;6.000;6.000;Mil
007617;20230331;2023;03;31;2.01.02.02;Fornecedores Estrangeiros;0;0;Mil
007617;20230331;2023;03;31;2.01.03;Obrigações Fiscais;224.000;178.000;Mil
007617;20230331;2023;03;31;2.01.03.01;Obrigações Fiscais Federais;224.000;178.000;Mil
007617;20230331;2023;03;31;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;0;0;Mil
007617;20230331;2023;03;31;2.01.03.01.02;Outras Obrigações Fiscais;224.000;178.000;Mil
007617;20230331;2023;03;31;2.01.03.02;Obrigações Fiscais Estaduais;0;0;Mil
007617;20230331;2023;03;31;2.01.03.03;Obrigações Fiscais Municipais;0;0;Mil
007617;20230331;2023;03;31;2.01.04;Empréstimos e Financiamentos;397.000;160.000;Mil
007617;20230331;2023;03;31;2.01.04.01;Empréstimos e Financiamentos;0;0;Mil
007617;20230331;2023;03;31;2.01.04.01.01;Em Moeda Nacional;0;0;Mil
007617;20230331;2023;03;31;2.01.04.01.02;Em Moeda Estrangeira;0;0;Mil
007617;20230331;2023;03;31;2.01.04.02;Debêntures;397.000;160.000;Mil
007617;20230331;2023;03;31;2.01.04.03;Financiamento por Arrendamento;0;0;Mil
007617;20230331;2023;03;31;2.01.05;Outras Obrigações;2.131.000;1.994.000;Mil
007617;20230331;2023;03;31;2.01.05.01;Passivos com Partes Relacionadas;1.000;0;Mil
007617;20230331;2023;03;31;2.01.05.01.01;Débitos com Coligadas;0;0;Mil
007617;20230331;2023;03;31;2.01.05.01.02;Débitos com Controladas;0;0;Mil
007617;20230331;2023;03;31;2.01.05.01.03;Débitos com Controladores;0;0;Mil
007617;20230331;2023;03;31;2.01.05.01.04;Débitos com Outras Partes Relacionadas;1.000;0;Mil
007617;20230331;2023;03;31;2.01.05.02;Outros;2.130.000;1.994.000;Mil
007617;20230331;2023;03;31;2.01.05.02.01;Dividendos e JCP a Pagar;2.101.000;1.968.000;Mil
007617;20230331;2023;03;31;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;0;0;Mil
007617;20230331;2023;03;31;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0;0;Mil
007617;20230331;2023;03;31;2.01.05.02.04;Outros Passivos;26.000;23.000;Mil
007617;20230331;2023;03;31;2.01.05.02.05;Passivos de Arrendamentos;3.000;3.000;Mil
007617;20230331;2023;03;31;2.01.06;Provisões;1.794.000;1.763.000;Mil
007617;20230331;2023;03;31;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;1.794.000;1.763.000;Mil
007617;20230331;2023;03;31;2.01.06.01.01;Provisões Fiscais;1.794.000;1.763.000;Mil
007617;20230331;2023;03;31;2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;0;0;Mil
007617;20230331;2023;03;31;2.01.06.01.03;Provisões para Benefícios a Empregados;0;0;Mil
007617;20230331;2023;03;31;2.01.06.01.04;Provisões Cíveis;0;0;Mil
007617;20230331;2023;03;31;2.01.06.02;Outras Provisões;0;0;Mil
007617;20230331;2023;03;31;2.01.06.02.01;Provisões para Garantias;0;0;Mil
007617;20230331;2023;03;31;2.01.06.02.02;Provisões para Reestruturação;0;0;Mil
007617;20230331;2023;03;31;2.01.06.02.03;Provisões para Passivos Ambientais e de Desativação;0;0;Mil
007617;20230331;2023;03;31;2.01.07;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0;0;Mil
007617;20230331;2023;03;31;2.01.07.01;Passivos sobre Ativos Não-Correntes a Venda;0;0;Mil
007617;20230331;2023;03;31;2.01.07.02;Passivos sobre Ativos de Operações Descontinuadas;0;0;Mil
007617;20230331;2023;03;31;2.02;Passivo Não Circulante;6.303.000;6.302.000;Mil
007617;20230331;2023;03;31;2.02.01;Empréstimos e Financiamentos;6.288.000;6.287.000;Mil
007617;20230331;2023;03;31;2.02.01.01;Empréstimos e Financiamentos;0;0;Mil
007617;20230331;2023;03;31;2.02.01.01.01;Em Moeda Nacional;0;0;Mil
007617;20230331;2023;03;31;2.02.01.01.02;Em Moeda Estrangeira;0;0;Mil
007617;20230331;2023;03;31;2.02.01.02;Debêntures;6.288.000;6.287.000;Mil
007617;20230331;2023;03;31;2.02.01.03;Financiamento por Arrendamento;0;0;Mil
007617;20230331;2023;03;31;2.02.02;Outras Obrigações;2.000;3.000;Mil
